serial_no,question,options/A,options/B,options/C,options/D,options/E,answer,hallucinated_question,technique,difficulty_justification,pred_GPT-4o-mini,correct_GPT-4o-mini,pred_Gemini-3.1-flash-lite,correct_Gemini-3.1-flash-lite,pred_Grok-4.3,correct_Grok-4.3,pred_Qwen-2.5-72B,correct_Qwen-2.5-72B,pred_Llama-3.1-70B,correct_Llama-3.1-70B,pred_DeepSeek-V4-Flash,correct_DeepSeek-V4-Flash
627,যে গ্রন্থিটি ক্যালসিয়াম বিপাকে সাহায্য করে-,পিটুইটারি,অগ্ন্যাশয়,অ্যাড্রেনাল,প্যারাথাইরয়েড,উত্তর নেই,D,উল্লিখিত গ্রন্থিটি ক্যালসিয়াম বিপাকে সাহায্য করে—গ্রন্থিটির নাম কী?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত গ্রন্থি’র কোনো পূর্বসূরি দেওয়া নেই, তাই কোন গ্রন্থিকে বোঝানো হয়েছে তা নির্ধারণ করা যায় না।",D,0,D,0,D,0,D,0,,,D,0
628,পিটুইটারী গ্রন্থির পশ্চাৎবর্তী অংশ হতে কোন হরমোনটি নিঃসৃত হয়?,থাইরক্সিন,অ্যাড্রোনোকার্টিকোট্রপিন হরমোন,ভ্যাসোপ্রেসিন,সিক্রেটিন,উত্তর নেই,C,পিটুইটারী গ্রন্থির পশ্চাৎবর্তী অংশ থেকে নিঃসৃত এবং একই সঙ্গে থাইরয়েড গ্রন্থিতে সংশ্লেষিত—এমন কোন হরমোনটি?,Contradiction,"ভ্যাসোপ্রেসিন পশ্চাৎ পিটুইটারি থেকে নিঃসৃত হলেও থাইরয়েডে সংশ্লেষিত হয় না, তাই প্রদত্ত A–D বিকল্পের কোনোটিই শর্ত পূরণ করে না।",E,1,E,1,E,1,E,1,,,E,1
629,নালিবিহীন গ্রন্থি কোনটি?,প্যারোটিড,যকৃত,প্যারাথাইরয়েড,টনসিল,উত্তর নেই,C,"যে নালিবিহীন গ্রন্থি একই সঙ্গে নালির মাধ্যমে নিঃসরণও করে, সেটি কোনটি?",Contradiction,নালিবিহীন গ্রন্থি নালির মাধ্যমে নিঃসরণ করে না—এই দুই পরস্পরবিরোধী বৈশিষ্ট্য একসঙ্গে কোনো বিকল্পের ক্ষেত্রে প্রযোজ্য নয়।,E,1,B,0,E,1,E,1,,,E,1
630,প্যারাথাইরয়েড গ্রন্থি থেকে নিঃসৃত হরমোন-,Parathyroid hormone,Parathormone,Parathyrin,সবগুলো,উত্তর নেই,D,প্যারাথাইরয়েড গ্রন্থি থেকে নিঃসৃত এবং রক্তে ক্যালসিয়ামের মাত্রা কমায়—এমন হরমোনটির নাম কী?,Contradiction,"প্যারাথাইরয়েড হরমোন রক্তে ক্যালসিয়ামের মাত্রা কমায় না, বরং বাড়ায়; তাই প্রশ্নের দুটি শর্ত পরস্পর অসঙ্গত এবং A–D-এর কোনোটি সঠিক হতে পারে না।",E,1,E,1,E,1,E,1,,,E,1
631,কোনটি অন্তঃক্ষরা গ্রন্থি নয়?,যকৃত,পিটুইটারি,অন্ডকোষ,থাইরয়েড,উত্তর নেই,A,"যে অঙ্গটি একদিকে অন্তঃক্ষরা গ্রন্থির মতো হরমোন ক্ষরণ করে, আবার অন্যদিকে কোনো হরমোনই ক্ষরণ করে না—সেটি কোনটি?",Contradiction,অন্তঃক্ষরা কার্যসম্পাদনকারী অঙ্গ একই সঙ্গে সম্পূর্ণভাবে কোনো হরমোন না ক্ষরণ করতে পারে না—এই পরস্পরবিরোধী শর্তের কারণে A–D-এর কোনোটিই সঠিক উত্তর নয়।,E,1,E,1,E,1,E,1,,,E,1
632,মানবদেহের সর্ববৃহৎ গ্রন্থি কোনটি?,বৃক্ক,অগ্ন্যাশয়,যকৃত,পাকস্থলী,উত্তর নেই,C,উল্লিখিত পরিমাপের ভিত্তিতে মানবদেহের সর্ববৃহৎ গ্রন্থি কোনটি?,Referent Deletion,"কোন পরিমাপ বা তার মান উল্লেখ করা হয়নি, তাই প্রদত্ত বিকল্পগুলোর মধ্যে কোনটিকে সর্ববৃহৎ বলা হবে তা নির্ধারণ করা যায় না।",C,0,C,0,E,1,C,0,,,C,0
633,নিম্নের কোনটি পুরুষ প্রজননতন্ত্রের অন্তর্ভূক্ত নয়?,সেমিনাল ভেসিকল,প্রস্টেট গ্রন্থি,বার্থোলিন গ্রন্থি,কাওপার এর গ্রন্থি,উত্তর নেই,C,"নিম্নের কোনটি পুরুষ প্রজননতন্ত্রের অন্তর্ভুক্ত নয়, অথচ পুরুষের বীর্য গঠনে সহায়ক গ্রন্থি হিসেবে কাজ করে?",Contradiction,"বার্থোলিন গ্রন্থি পুরুষ প্রজননতন্ত্রের অংশ নয় এবং পুরুষের বীর্য গঠনে ভূমিকা রাখে না, আর বাকি তিনটি গ্রন্থিই পুরুষ প্রজননতন্ত্রের অন্তর্ভুক্ত।",C,0,C,0,E,1,C,0,,,E,1
634,মানুষের শুক্রানু প্রতি সেকেন্ডে কত মিলিমিটার পথ অতিক্রম করতে পারে?,১-৮,১-৪,৫-৮,৮-১২,উত্তর নেই,B,উল্লিখিত প্রজননকোষটি প্রতি সেকেন্ডে কত মিলিমিটার পথ অতিক্রম করতে পারে?,Referent Deletion,"কোন প্রজননকোষের কথা বলা হচ্ছে তা উল্লেখ না থাকায় তার গতিবেগ নির্ধারণ করা যায় না, কারণ বিভিন্ন প্রজননকোষের চলনগত বৈশিষ্ট্য ভিন্ন হতে পারে।",E,1,E,1,E,1,E,1,,,B,0
635,নিম্নের কোন তথ্যটি সঠিক নয়?,শুক্রাশয়ের সারটলি কোষ টেস্টোস্টেরন নামক গুরুত্বপূর্ণ যৌন হরমোন নিঃসরণ করে,এপিডিডাইমিস শুক্রাণুর চলন শক্তির বৃদ্ধি করে,প্রস্টেট গ্রন্থি থেকে অ্যালক্যালাইন ফসফেটেজ নামক একরকম ক্ষারকীয় রস নিঃসরণ হয়,সেমিনাল রস প্রধানত শুক্রাণুর পুষ্টি জোগায়,উত্তর নেই,A,"শুক্রাশয়ের সারটলি কোষ সম্পর্কে একই সঙ্গে ধরে নিলে যে এটি টেস্টোস্টেরন নিঃসরণ করে এবং করে না, তাহলে নিম্নের কোন তথ্যটি সঠিক নয়?",Contradiction,"সারটলি কোষের টেস্টোস্টেরন নিঃসরণ-সংক্রান্ত পরস্পরবিরোধী দুটি শর্ত একসঙ্গে দেওয়ায় তথ্যগুলোর সঠিকতা নির্ধারণ করা যৌক্তিকভাবে অসম্ভব, যা বিশেষজ্ঞ সহজেই শনাক্ত করবেন।",A,0,A,0,E,1,E,1,,,C,0
636,স্ক্রোটামের অভ্যন্তরীণ তাপমাত্রা দেহ গহ্বর থেকে কত কম বা বেশী?,২ সেন্টিগ্রেড বেশী,২ সেন্টিগ্রেড কম,৩ সেন্টিগ্রেড বেশী,৩ সেন্টিগ্রেড কম,উত্তর নেই,D,একই স্বাভাবিক অবস্থায় স্ক্রোটামের অভ্যন্তরীণ তাপমাত্রা দেহগহ্বরের তুলনায় কমও থাকে এবং বেশিও থাকে—এই পরস্পরবিরোধী বর্ণনা অনুযায়ী তাপমাত্রার পার্থক্য কত?,Contradiction,"ডোমেইন বিশেষজ্ঞ বুঝবেন যে একই স্বাভাবিক অবস্থায় স্ক্রোটামের তাপমাত্রা দেহগহ্বরের তুলনায় একসঙ্গে কম ও বেশি হতে পারে না, তাই A–D-এর কোনো বিকল্পই নির্ভুল নয়।",E,1,D,0,E,1,B,0,,,E,1
637,কোনটি উওজেনেসিসে ঘটে না?,উওজেনেসিসে মাধ্যমে উৎপন্ন ডিম্বাণুর সংখ্যা অনেক কম,এ প্রক্রিয়ায় স্ত্রী গ্যামিট বা ডিম্বাণু উৎপন্ন হয়,একটি জনন মাতৃকোষ থেকে একটি সক্রিয় ডিম্বাণু ও তিনটি নিষেকে ভূমিকাহীন পোলার বডি সৃষ্টি হয়,"উৎপন্ন ডিম্বাণু ছোট, সক্রিয় ও চলাচলে সক্ষম",উত্তর নেই,D,উল্লিখিত জননপ্রক্রিয়ায় কোনটি ঘটে না?,Referent Deletion,কোন জননপ্রক্রিয়াকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে নির্দিষ্ট না থাকায় A–D-এর কোনোটিই নিশ্চিতভাবে সঠিক নির্বাচন করা যায় না।,D,0,D,0,E,1,D,0,,,D,0
638,নিম্নের কোনটি সঠিক?,আমিষ জাতীয় খাদ্য বিপাকের ফলে নাইট্রোজেনযুক্ত বর্জ্য পদার্থ সৃষ্টি হয়,ডিম্বাশয় থেকে কোরিওনিক গোনাডোট্রপিন নিঃসৃত হয়,অ্যামাইনো এসিড আমিষের গঠনমূলক একক,চোখের অগ্র প্রকোষ্ঠ অ্যাকুয়াস হিউমার দিয়ে পূর্ণ থাকে,উত্তর নেই,A,উল্লিখিত শারীরবৃত্তীয় তথ্যের ভিত্তিতে নিচের কোনটি সঠিক?,Referent Deletion,"কোন শারীরবৃত্তীয় তথ্যকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে দেওয়া নেই, তাই A–D-এর কোনোটিকেই নির্দিষ্ট ভিত্তিতে সঠিক নির্বাচন করা যায় না।",A,0,E,1,E,1,C,0,,,C,0
639,নিম্নের কোন তথ্যটি সঠিক নয়?,ইস্ট্রোজেন এবং প্রজেস্টেরণ গুরুত্বপূর্ণ নারী যৌন হরমোন,ইস্ট্রোজেনের প্রভাবে মেয়েদের নারীসুলভ লক্ষণ বিকশিত হয়,করপাস লুটিয়াম থেকে লুটিনাইজিং হরমোন নিঃসৃত হয়,ডিম্বাশয়ের সবচেয়ে পরিপক্ক ফলিকলটিকে গ্রাফিয়ান ফলিকল বলে,উত্তর নেই,C,"নিম্নের তথ্যগুলোর মধ্যে কোনটি সঠিক নয়, যদি করপাস লুটিয়াম থেকে লুটিনাইজিং হরমোন নিঃসৃত হওয়াকে সঠিক তথ্য হিসেবে ধরে নেওয়া হয়?",Contradiction,"বিশেষজ্ঞ জানেন যে করপাস লুটিয়াম মূলত প্রজেস্টেরণ নিঃসরণ করে, লুটিনাইজিং হরমোন নয়; তাই প্রশ্নে এই ভুল তথ্যকে সঠিক ধরে নেওয়ায় A–D-এর কোনোটিকেই এককভাবে ভুল বলা যায় না।",C,0,C,0,E,1,C,0,,,E,1
640,সাধারণত রজঃচক্র কতদিন স্থায়ী হয়?,৩-৪,৮-১০,২-৩,৪-৫,উত্তর নেই,D,উল্লিখিত রজঃচক্রে মাসিক রক্তস্রাব সাধারণত কতদিন স্থায়ী হয়?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত রজঃচক্র’-এর কোনো পূর্বনির্দিষ্ট বর্ণনা বা তথ্য দেওয়া হয়নি, তাই A–D-এর কোনো উত্তরকে নিশ্চিতভাবে সঠিক বলা যায় না।",D,0,D,0,E,1,A,0,,,E,1
641,যেটি গর্ভাবস্থায় অমরার কাজ নয়-,লুটিনাইজিং হরমোন নিঃসৃতকরণ,প্রোজেস্টেরন হরমোন নিঃসৃতকরণ,রিলাক্সিন হরমোন নিঃসৃতকরণ,মাতা ও ভ্রুণের মধ্যে পদার্থের আদান-প্রদান,উত্তর নেই,A,উল্লিখিত অঙ্গটির গর্ভাবস্থায় কোনটি কাজ নয়?,Referent Deletion,"প্রশ্নে কোন অঙ্গকে ‘উল্লিখিত অঙ্গ’ বলা হয়েছে তা নির্দিষ্ট না থাকায়, প্রদত্ত বিকল্পগুলোর কোনোটিকেই নিশ্চিতভাবে সঠিক উত্তর হিসেবে নির্বাচন করা যায় না।",A,0,A,0,E,1,A,0,,,A,0
642,স্ত্রীলিঙ্গের কোন অংশে ভ্রূণ বর্ধিত হয়?,ডিম্বাণু,ডিম্বনালি,গর্ভাশয়,ডিম্বাশয়,উত্তর নেই,C,উল্লিখিত ভ্রূণবর্ধনকারী অংশটির নাম কী?,Referent Deletion,"কোন অংশকে ‘উল্লিখিত ভ্রূণবর্ধনকারী’ বলা হচ্ছে তা আগে নির্দিষ্ট করা হয়নি, তাই প্রদত্ত কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।",E,1,C,0,E,1,D,0,,,C,0
643,ডিম্বাণুতে কতটি ক্রোমোসোম থাকে?,এক জোড়া,একটি,তেইশ জোড়া,তেইশটি,উত্তর নেই,D,উল্লিখিত জননকোষে কতটি ক্রোমোসোম থাকে?,Referent Deletion,কোন জননকোষকে বোঝানো হয়েছে তা উল্লেখ না থাকায় ডিম্বাণুর ২৩টি ক্রোমোসোমের জ্ঞান প্রয়োগ করে A–D-এর কোনো উত্তর নিশ্চিতভাবে নির্বাচন করা যায় না।,C,0,D,0,E,1,B,0,,,D,0
644,মানুষের জরায়ু গর্ভাবস্থায় কত গুণ বৃদ্ধি পায়?,৩০,২০,৪০,১০,উত্তর নেই,B,পূর্ণমেয়াদি গর্ভাবস্থায় জরায়ু স্বাভাবিক আকারের তুলনায় ১৮ গুণ বৃদ্ধি পায়—এই নির্দিষ্ট মানটি প্রদত্ত কোন বিকল্পে সঠিকভাবে উল্লেখ করা হয়েছে?,Unrealism,"বাস্তবে গর্ভাবস্থায় জরায়ু প্রায় ২০ গুণ বৃদ্ধি পায়, তাই ১৮ গুণের এই সূক্ষ্মভাবে ভুল মানটি শনাক্ত করলে বোঝা যায় যে A–D-এর কোনোটিই সঠিক নয়।",E,1,E,1,E,1,E,1,,,E,1
645,ফিলোপিয়ান টিউব কোথায় থাকে?,বৃহদন্ত্রে,ক্ষুদ্রান্তে,স্ত্রী প্রজননতন্ত্রে,পায়ে,উত্তর নেই,C,উল্লিখিত অঙ্গটি কোথায় থাকে?,Referent Deletion,"কোন অঙ্গকে ‘উল্লিখিত’ বলা হচ্ছে তার পূর্বসূরি অনুপস্থিত, তাই প্রদত্ত বিকল্পগুলোর কোনোটিই নিশ্চিতভাবে নির্বাচন করা যায় না।",E,1,E,1,E,1,E,1,,,E,1
646,জরায়ুর প্রাচীর কয়টি স্তরে বিভক্ত?,১টি,২টি,৪টি,৩টি,উত্তর নেই,D,জরায়ুর প্রাচীরের প্রচলিত শারীরস্থানিক বিভাজনে এটি তিনটি পৃথক স্তর নিয়ে গঠিত; কিন্তু একই নির্দিষ্ট স্তরকে একযোগে অন্তস্তর ও বহিঃস্তর হিসেবে গণ্য করলে মোট স্তর কয়টি?,Contradiction,"একই স্তরকে একই সঙ্গে অন্তস্তর ও বহিঃস্তর বলা শারীরস্থানিকভাবে পরস্পরবিরোধী, তাই নির্দিষ্ট কোনো সংখ্যাই সঠিক হতে পারে না।",E,1,B,0,E,1,B,0,,,B,0
647,ডিম্বাশয় কোন পেরিটোনিয়াম পর্দা দ্বারা আবৃত?,মেসোরকিয়াম,করপাস লুটিয়াম,মেসোভেরিয়াম,সার্ভিক্স,উত্তর নেই,C,উল্লিখিত অঙ্গটি কোন পেরিটোনিয়াম পর্দা দ্বারা আবৃত?,Referent Deletion,"প্রশ্নে কোন অঙ্গকে ‘উল্লিখিত’ বলা হচ্ছে তা নির্দিষ্ট না থাকায়, ডিম্বাশয়-সংক্রান্ত সঠিক জ্ঞান থাকলেও A–D-এর কোনো বিকল্প নিশ্চিতভাবে নির্বাচন করা যায় না।",E,1,E,1,E,1,E,1,,,E,1
648,নিচের কোনটি স্ত্রী প্রজননতন্ত্রের অংশ নয়?,ডিম্বাশয়,হাইমেন,কাওপার-এর গ্রন্থি,ক্লাইটোরিস,উত্তর নেই,C,"কাওপার-এর গ্রন্থিকেও স্ত্রী প্রজননতন্ত্রের স্বীকৃত অংশ হিসেবে গণ্য করলে, নিচের কোনটি স্ত্রী প্রজননতন্ত্রের অংশ নয়?",Unrealism,"বিশেষজ্ঞ জানেন যে কাওপার-এর গ্রন্থি পুরুষের বাল্বোইউরেথ্রাল গ্রন্থি, তাই প্রশ্নে সেটিকে স্ত্রী প্রজননতন্ত্রের অংশ হিসেবে ধরা একটি সূক্ষ্ম তথ্যগত ভুল এবং A–D-এর সবকটিকেই অংশ হিসেবে দাঁড় করায়।",E,1,E,1,E,1,C,0,,,E,1
649,ফেলোপিয়ান নালির যে অংশ জরায়ু প্রাচীরের কাছে থাকে-,ইসথমাস,অ্যাম্পুলা,ফিমব্রি,কোনোটিই নয়,উত্তর নেই,A,উল্লিখিত ফেলোপিয়ান নালির অংশটি কী নামে পরিচিত?,Referent Deletion,"কোন অংশকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে নির্দিষ্ট করা হয়নি, তাই প্রদত্ত কোনো বিকল্পই নির্ভরযোগ্যভাবে নির্বাচন করা যায় না।",E,1,E,1,E,1,D,0,,,E,1
650,যোনি প্রাচীরের ভাঁজকে বলা হয়-,রুগী,হাইমেন,ফিমব্রি,সারভিক্স,উত্তর নেই,A,"যোনি প্রাচীরের ভাঁজ, যা একই সঙ্গে জরায়ুমুখের বহিঃস্থ অংশের ভাঁজ হিসেবে বিবেচিত হয়, তাকে কী বলা হয়?",Contradiction,যোনি প্রাচীরের ভাঁজ ও জরায়ুমুখের বহিঃস্থ অংশ পৃথক অ্যানাটমিক গঠন হওয়ায় এই দুই বৈশিষ্ট্যকে একই গঠনের জন্য একত্র করা চিকিৎসাবিজ্ঞানের দৃষ্টিতে অসঙ্গত।,B,0,A,0,E,1,E,1,,,E,1
651,নারীর বয়ঃপ্রাপ্তিতে কোন হরমোনের ভূমিকা নেই?,গ্রোথ হরমোন,অ্যান্ড্রোস্টেরণ,এস্ট্রোজেন,ভ্যাসোপ্রেসিন,উত্তর নেই,D,উল্লিখিত নারীর বয়ঃপ্রাপ্তির নির্দিষ্ট পর্যায়ে কোন হরমোনের ভূমিকা নেই?,Referent Deletion,প্রশ্নে ‘উল্লিখিত নারী’ ও বয়ঃপ্রাপ্তির নির্দিষ্ট পর্যায়ের কোনো পূর্বতথ্য না থাকায় কোন হরমোনের ভূমিকা নেই তা নির্ধারণ করা যায় না।,D,0,D,0,D,0,D,0,,,D,0
652,নিম্নলিখিত কোনটি মেসোডার্ম থেকে গঠিত হয় না?,স্নায়ুতন্ত্র,রক্তবহনতন্ত্র,কংকালতন্ত্র,প্রজননতন্ত্র,উত্তর নেই,A,"ভ্রূণীয় মেসোডার্ম থেকে গঠিত নয়, অথচ মেসোডার্ম-উদ্ভূত অঙ্গতন্ত্র হিসেবে শ্রেণিবদ্ধ—নিচের কোনটি?",Contradiction,"বিশেষজ্ঞ বুঝবেন যে ‘মেসোডার্ম থেকে গঠিত নয়’ এবং ‘মেসোডার্ম-উদ্ভূত’ একই অঙ্গতন্ত্রের ক্ষেত্রে পরস্পরবিরোধী বৈশিষ্ট্য, তাই A–D-এর কোনোটিই সঠিক হতে পারে না।",A,0,A,0,E,1,A,0,,,E,1
653,নিম্নের কোনটি ভ্রূণের এক্টোডার্ম থেকে তৈরি?,শ্বসনতন্ত্র,কঙ্কালতন্ত্র,রক্ত সংবহন তন্ত্র,স্নায়ুতন্ত্র,উত্তর নেই,D,ভ্রূণের এক্টোডার্মজাত হলেও মেসোডার্মীয় উৎসবিশিষ্ট কোন তন্ত্র?,Contradiction,"একই তন্ত্র একই সঙ্গে এক্টোডার্ম ও মেসোডার্ম—দুই ভ্রূণীয় স্তর থেকে উৎপন্ন হতে পারে না, তাই A–D-এর কোনোটিই সঠিক নয়।",D,0,E,1,E,1,E,1,,,E,1
654,কোনটি অ্যালানটয়েসের কাজ নয়?,অঙ্গ প্রত্যঙ্গের সুষ্ঠু বিকাশে সাহায্য করে,অ্যালানটো-কোরিওন প্লাসেন্টা গঠনে সক্রিয় অংশগ্রহণ করে,ভ্রূণের শ্বসনে সাহায্য করে,ভ্রূণের রেচনে সাহায্য করে,উত্তর নেই,A,উল্লিখিত ভ্রূণীয় বহিঃআবরণের কোনটি কাজ নয়?,Referent Deletion,কোন ভ্রূণীয় বহিঃআবরণকে বোঝানো হয়েছে তা উল্লেখ না থাকায় অ্যালানটয়েস-নির্ভর বিকল্পগুলোর মধ্যে কোনো একটিকে নিশ্চিতভাবে সঠিক বলা যায় না।,C,0,A,0,E,1,C,0,,,E,1
655,উওজেনেসিসে মোট পোলারবডি তৈরী হয়-,১,২,৩,৮,উত্তর নেই,C,মানব উওজেনেসিসে স্বাভাবিকভাবে মোট ৪টি পোলার বডি উৎপন্ন হয়—এই প্রক্রিয়ায় মোট কতটি পোলার বডি তৈরি হয়?,Unrealism,"মানব উওজেনেসিসে প্রকৃতপক্ষে মোট ৩টি পোলার বডি তৈরি হয়, তাই প্রশ্নে দেওয়া ৪টি সংখ্যাটি চিকিৎসাবিজ্ঞানের দৃষ্টিতে ভুল এবং A–D-এর কোনোটিই সঠিক নয়।",E,1,C,0,E,1,C,0,,,E,1
656,নিচের কোনটি গ্যামিটোজেনেসিসের জন্য সঠিক নয়?,শুক্রাণু-নিউক্লিয়াসের সম্মুখ প্রান্তে গলগি বডি থেকে অ্যাক্রোসোম সৃষ্টি হয়,ব্যাঙের সাইটোপ্লাজমসহ ডিম্বাণু নিউক্লিয়াসটি কুসুম থেকে পৃথক হয়ে ডিম্বাণুর নিম্নপ্রান্ত জুড়ে থাকে,স্পার্মাটোজেনেসিসে হ্যাপ্লয়েড ক্রোমোসোম সেটের DNA অপরিবর্তিত থাকে,প্রত্যেকটি উওগোনিয়াম ডিপ্লয়েড (2n) সংখ্যক ক্রোমোসোম বহন করে,উত্তর নেই,B,উল্লিখিত গ্যামিটোজেনেসিসে নিচের কোন বক্তব্যটি সঠিক নয়?,Referent Deletion,"কোন গ্যামিটোজেনেসিস বা পূর্বোক্ত বিষয়ের উল্লেখই করা হয়নি, তাই A–D-এর কোনোটিকে নির্দিষ্টভাবে যাচাই করা সম্ভব নয়।",C,0,B,0,B,0,B,0,,,B,0
657,কোনটি উওজেনেসিসের জন্য প্রযোজ্য নয়?,নিউক্লিয়াস ও সাইটোপ্লাজম একই সাথে পূর্ণতাপ্রাপ্ত হয়,মুখ্যঝিল্লি সৃষ্টি করে,পূর্ণতা প্রাপ্তির শেষ পর্যায় ডিম্বাশয়ের ভিতরে সম্পন্ন হয়,অ্যানিমেল ও ভেজিটাল মেরুর সৃষ্টি হয়,উত্তর নেই,C,উল্লিখিত প্রজনন-প্রক্রিয়ার ক্ষেত্রে নিচের কোন বক্তব্যটি প্রযোজ্য নয়?,Referent Deletion,প্রশ্নে কোন প্রজনন-প্রক্রিয়াকে বোঝানো হয়েছে তা উল্লেখ করা না থাকায় A–D-এর কোনোটিকেই নির্দিষ্টভাবে সঠিক বা ভুল বলা যায় না।,E,1,A,0,E,1,B,0,,,E,1
658,ট্রফোব্লাস্ট থেকে ভিলাই বেরোতে থাকে-,তৃতীয় সপ্তাহে,চতুর্থ সপ্তাহের শেষ দিকে,দ্বিতীয় সপ্তাহের শেষ দিকে,দ্বিতীয় সপ্তাহের প্রথম দিকে,উত্তর নেই,C,"ট্রফোব্লাস্ট থেকে ভিলাই বেরোতে শুরু করার সময়টি ভ্রূণের দ্বিতীয় সপ্তাহের শেষদিকে, কিন্তু একই সঙ্গে তৃতীয় সপ্তাহের আগে নয়—এটি কোন সময়ে ঘটে?",Contradiction,"ভিলাই সাধারণত দ্বিতীয় সপ্তাহের শেষদিকে গঠিত হতে শুরু করে, যা তৃতীয় সপ্তাহের আগে; তাই প্রশ্নের দুইটি সময়গত শর্ত পরস্পর অসঙ্গত।",C,0,C,0,E,1,C,0,,,C,0
659,স্নায়ুতন্ত্র গঠিত হয়-,এক্টোডার্ম থেকে,মেসোডার্ম থেকে,এন্ডোডার্ম থেকে,এক্টোডার্ম ও মেসোডার্ম থেকে,উত্তর নেই,A,"ভ্রূণের যে স্তর থেকে স্নায়ুতন্ত্র গঠিত হয় এবং একই সঙ্গে পরিপাকনালির আবরণও গঠিত হয়, সেই স্তরটি কোনটি?",Contradiction,স্নায়ুতন্ত্র এক্টোডার্ম এবং পরিপাকনালির আবরণ এন্ডোডার্ম থেকে গঠিত হওয়ায় একই স্তর উভয় গঠন সৃষ্টি করতে পারে না।,C,0,E,1,E,1,A,0,,,E,1
660,কোনটি উওজেনেসিসের ক্ষেত্রে প্রযোজ্য নয়?,একটি উওগোনিয়াম থেকে চারটি কার্যক্ষম ডিম্বাণু সৃষ্টি হয়,পরিণত ডিম্বাণু সঙ্গে সঙ্গেই নিষিক্ত হওয়ায় ক্ষমতাপ্রাপ্ত হয়,জার্মিনাল এপিথেলিয়াম থেকে বিচ্ছিন্ন প্রিমোর্ডিয়াল জননকোষগুলো ডিম্বাণু সৃষ্টি করে,পরিণত ডিম্বাণুর চারদিকে কয়েকটি আবরণ দেখা যায়,উত্তর নেই,A,উল্লিখিত প্রক্রিয়ার এই নির্দিষ্ট পর্যায়ে কোন বৈশিষ্ট্যটি প্রযোজ্য নয়?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত প্রক্রিয়া’ ও ‘এই নির্দিষ্ট পর্যায়’-এর কোনো পূর্বনির্দিষ্ট উল্লেখ নেই, তাই কোন বৈশিষ্ট্য প্রযোজ্য নয় তা নির্ধারণের জন্য প্রয়োজনীয় তথ্য অনুপস্থিত।",A,0,A,0,E,1,E,1,,,A,0
661,যকৃত ও অগ্ন্যাশয় সৃষ্টি হয় কোনটি থেকে?,এন্ডোডার্ম,মেসোডার্ম,এক্টোডার্ম,এপিডার্ম,উত্তর নেই,A,যকৃত ও অগ্ন্যাশয়—যে দুটি অঙ্গ যথাক্রমে এন্ডোডার্মীয় ও মেসোডার্মীয় উদ্ভবের অধিকারী—উভয়ের অভিন্ন ভ্রূণীয় উৎস কোনটি?,Contradiction,"বিশেষজ্ঞ জানেন যে যকৃত ও অগ্ন্যাশয় উভয়ই এন্ডোডার্ম থেকে বিকশিত হয়, তাই প্রশ্নে তাদের পৃথক ভ্রূণীয় উৎসের পূর্বধারণাটি পরস্পরবিরোধী।",E,1,A,0,E,1,E,1,,,E,1
662,কোনটি মেসোডার্ম থেকে তৈরি হয়?,কঙ্কালতন্ত্র,শ্বসনতন্ত্র,মুখ গহ্বর,ত্বকীয় গ্রন্থি,উত্তর নেই,A,"যে গঠনটি ভ্রূণীয় মেসোডার্ম থেকে তৈরি হয় এবং একই সঙ্গে এক্টোডার্মীয় উৎসেরও, সেটি কোনটি?",Contradiction,"মেসোডার্ম ও এক্টোডার্ম পৃথক ভ্রূণীয় স্তর হওয়ায় কোনো একটি গঠনের একই সঙ্গে উভয় উৎস থাকা সম্ভব নয়, তাই A–D-এর কোনোটিই সঠিক নয়।",E,1,E,1,A,0,D,0,,,C,0
663,ব্লাস্টোসিস্ট মানুষের জরায়ুর কোন স্তরে গ্রথিত হয়?,মায়োমেট্রিয়াম,মায়োমেট্রিয়াম এবং পেরিমেট্রিয়ামের মাঝখানে,এন্ডোমেট্রিয়াম,পেরিমেট্রিয়াম,উত্তর নেই,C,"ব্লাস্টোসিস্ট মানুষের জরায়ুর যে স্তরে গ্রথিত হয়, সেটি একই সঙ্গে ভ্রূণ গ্রহণকারী অভ্যন্তরীণ মিউকোসা এবং জরায়ুর বহিঃস্থ সিরোসা—এই স্তরটির নাম কী?",Contradiction,"এন্ডোমেট্রিয়াম ভ্রূণ গ্রহণকারী অভ্যন্তরীণ মিউকোসা হলেও তা বহিঃস্থ সিরোসা নয়, তাই প্রশ্নের দুইটি পরস্পরবিরোধী শর্ত A–D-এর কোনো স্তর পূরণ করে না।",C,0,C,0,E,1,C,0,,,C,0
