text,Symptom,Health Condition,Medicine,Specialist,Age,Dosage,Medical Procedure,target_specialist,modified_specialist,modified_sentence
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । ঠান্ডা জাতীয় কোন খাবার খাবেন না । কয়েকটা দিন তরল জাতীয় খাবার খাবেন । ব্যথার জন্য Tab Napa 500mg 1 + 1 + 1 after meal for 3 days খেতে পারেন । সকালে ও রাতে কুসুম গরম পানিতে ১চিমটি লবণ দিয়ে গার্গল করবেন । এতে গলা ব্যথা থেকে অনেকাংশে আরাম পাওয়া যায় । গলা ব্যথা এর পরও না কমলে অবশ্যই ENT Specialist এর পরামর্শ নিবেন । ধন্যবাদ । ,,,Tab Napa 500mg,ENT Specialist,,1 + 1 + 1 after meal for 3 days,,ENT Specialist,Head and Neck Specialist,ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । ঠান্ডা জাতীয় কোন খাবার খাবেন না । কয়েকটা দিন তরল জাতীয় খাবার খাবেন । ব্যথার জন্য Tab Napa 500mg 1 + 1 + 1 after meal for 3 days খেতে পারেন । সকালে ও রাতে কুসুম গরম পানিতে ১চিমটি লবণ দিয়ে গার্গল করবেন । এতে গলা ব্যথা থেকে অনেকাংশে আরাম পাওয়া যায় । গলা ব্যথা এর পরও না কমলে অবশ্যই Head and Neck Specialist এর পরামর্শ নিবেন । ধন্যবাদ ।
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । বাইরে থেকে আসলে প্রথমত হাত পরিস্কার করে কেবল পানি দিয়ে চোখ পরিস্কার করতে হবে । চোখে ঘন ঘন পানির ঝাপটা দিতে হবে । লক্ষ্য রাখুন চোখে কখনও সরাসরি সাবান পানি যেন না লাগে । চোখ লাল ও চুলকানি আ্যালার্জীর লক্ষন হতে পারে । প্রাথমিকভাবে Eyedrop Tearfresh Liquigel ১ ফোঁটা করে ২ চোখে দিনে ২ বার করে ব্যবহার করুন । অবশ্যই দ্রুত সশরীরে গিয়ে চক্ষু বিশেষজ্ঞের পরামর্শ নিবেন । ধন্যবাদ,চোখ লাল | চুলকানি,আ্যালার্জীর,Eyedrop Tearfresh Liquigel,চক্ষু বিশেষজ্ঞের,,১ ফোঁটা করে ২ চোখে দিনে ২ বার,,চক্ষু বিশেষজ্ঞের,অ্যালার্জি বিশেষজ্ঞের,ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । বাইরে থেকে আসলে প্রথমত হাত পরিস্কার করে কেবল পানি দিয়ে চোখ পরিস্কার করতে হবে । চোখে ঘন ঘন পানির ঝাপটা দিতে হবে । লক্ষ্য রাখুন চোখে কখনও সরাসরি সাবান পানি যেন না লাগে । চোখ লাল ও চুলকানি আ্যালার্জীর লক্ষন হতে পারে । প্রাথমিকভাবে Eyedrop Tearfresh Liquigel ১ ফোঁটা করে ২ চোখে দিনে ২ বার করে ব্যবহার করুন । অবশ্যই দ্রুত সশরীরে গিয়ে অ্যালার্জি বিশেষজ্ঞের পরামর্শ নিবেন । ধন্যবাদ
"আপনার প্রস্নের জন্য ধন্যবাদ , আপনার ভাইকে স্বাভাবিক পানি দিয়ে সারা শরীর মুছে দিন যতক্ষন পর্যন্ত শরীরের তাপমাত্রা স্বাভাবিক না হয় । সাথে প্যারাসিটামল ওষুধ খাওয়াবেন । যদি জ্বর না কমে তবে পায়ুপথে প্যারাসিটামল সাপুসিটরি দিতে হবে । তারপর ও জ্বর না কমলে এক জন শিশু বিশেষজ্ঞ চিকিৎসক দেখাবেন । মনে হয় আপনাকে সাহায্য করতে পেরেছি , ভালো থাকবেন । ",,,প্যারাসিটামল | প্যারাসিটামল সাপুসিটরি,শিশু বিশেষজ্ঞ,,,,শিশু বিশেষজ্ঞ,সংক্রামক রোগ বিশেষজ্ঞ,"আপনার প্রস্নের জন্য ধন্যবাদ , আপনার ভাইকে স্বাভাবিক পানি দিয়ে সারা শরীর মুছে দিন যতক্ষন পর্যন্ত শরীরের তাপমাত্রা স্বাভাবিক না হয় । সাথে প্যারাসিটামল ওষুধ খাওয়াবেন । যদি জ্বর না কমে তবে পায়ুপথে প্যারাসিটামল সাপুসিটরি দিতে হবে । তারপর ও জ্বর না কমলে এক জন সংক্রামক রোগ বিশেষজ্ঞ চিকিৎসক দেখাবেন । মনে হয় আপনাকে সাহায্য করতে পেরেছি , ভালো থাকবেন ।"
"আমার ছেলের বয়স ৬ বছর ২ মাস । তিন দিন যাবত জ্বর ছিল । দিনের তুলনায় রাতে অধিকমাত্রায় জ্বর থাকে । জ্বর কিছুতেই ১০২ এর নিচে নামে না । কখনো কখনো ১০৫ পর্যন্ত উঠে যায় । গতকাল শিশু বিশেষজ্ঞ ডাক্তার দেখানো হয়েছে । CBC , CRP , Triple Antigens , Chest P / A View test করানো হয়েছে । Test a CRP Positive 12 এসেছে । HB - 12 . 1 , ESR - 45 , WBC count - 14 , 000 , Neutrophils - 77 % , Lymphocytes - 18 % , HTC - 7 % । ডাক্তারি ঔষধ সাজেস্ট করেছে । Avloclav , Montair 5 , ketomar , Aritone Z , Brezojil . কিন্তু জ্বর এখনো কমেনি । ১০২ এর উপর থাকে । কি করনীয়",জ্বর এখনো কমেনি | ১০২ এর উপর,CRP Positive 12,Avloclav | Montair 5 | ketomar | Aritone Z | Brezojil,শিশু বিশেষজ্ঞ,৬ বছর ২ মাস | তিন দিন যাবত জ্বর ছিল | দিনের তুলনায় রাতে অধিকমাত্রায় জ্বর থাকে | জ্বর কিছুতেই ১০২ এর নিচে নামে না | কখনো কখনো ১০৫ পর্যন্ত উঠে যায়,,CBC | CRP | Triple Antigens | Chest P / A View test,শিশু বিশেষজ্ঞ,শিশু সংক্রামক রোগ বিশেষজ্ঞ,"আমার ছেলের বয়স ৬ বছর ২ মাস । তিন দিন যাবত জ্বর ছিল । দিনের তুলনায় রাতে অধিকমাত্রায় জ্বর থাকে । জ্বর কিছুতেই ১০২ এর নিচে নামে না । কখনো কখনো ১০৫ পর্যন্ত উঠে যায় । গতকাল শিশু সংক্রামক রোগ বিশেষজ্ঞ ডাক্তার দেখানো হয়েছে । CBC , CRP , Triple Antigens , Chest P / A View test করানো হয়েছে । Test a CRP Positive 12 এসেছে । HB - 12 . 1 , ESR - 45 , WBC count - 14 , 000 , Neutrophils - 77 % , Lymphocytes - 18 % , HTC - 7 % । ডাক্তারি ঔষধ সাজেস্ট করেছে । Avloclav , Montair 5 , ketomar , Aritone Z , Brezojil . কিন্তু জ্বর এখনো কমেনি । ১০২ এর উপর থাকে । কি করনীয়"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । Drylief eye Drop ২ ফোটা করে উভয় চোখে দিনে দুই বার পাঁচ দিন ব্যাবহার করুন , একজন চক্ষু বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ । ",,,Drylief eye Drop,চক্ষু বিশেষজ্ঞের,,২ ফোটা | দিনে দুই বার পাঁচ দিন,,চক্ষু বিশেষজ্ঞের,চক্ষু শল্যচিকিৎসকের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । Drylief eye Drop ২ ফোটা করে উভয় চোখে দিনে দুই বার পাঁচ দিন ব্যাবহার করুন , একজন চক্ষু শল্যচিকিৎসকের পরামর্শ নিন । ধন্যবাদ ।"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার দাউদ হলে চিকিৎসা ঠিকই আছে । ঔষধ চালিয়ে যান । কিন্তু আগে নিশ্চিত হয়ে নিন যে আসলে আপনার দাউদ হয়েছে কিনা । চর্ম রোগ গুলো দেখতে খুব কাছাকাছি , কিন্তু চিকিৎসা ভিন্ন । একজন অভিজ্ঞ চর্ম বিশেষজ্ঞ কে দেখান । ধন্যবাদ",,,,অভিজ্ঞ চর্ম বিশেষজ্ঞ,,,,অভিজ্ঞ চর্ম বিশেষজ্ঞ,অভিজ্ঞ অ্যালার্জি বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার দাউদ হলে চিকিৎসা ঠিকই আছে । ঔষধ চালিয়ে যান । কিন্তু আগে নিশ্চিত হয়ে নিন যে আসলে আপনার দাউদ হয়েছে কিনা । চর্ম রোগ গুলো দেখতে খুব কাছাকাছি , কিন্তু চিকিৎসা ভিন্ন । একজন অভিজ্ঞ অ্যালার্জি বিশেষজ্ঞ কে দেখান । ধন্যবাদ"
এমারজেন্সি এমারজেন্সি এমারজেন্সি এমারজেন্সি আমি একজন মহিলা মহিলা সার্জন ডাক্তার দেখাতে চাই । কোথাও ডাক্তার নেই । সবাই বলে সরকারি হাসপাতালে নাকি সব করোনা রোগী সেখানে যাওয়া নাকি ঠিক না । ,,,,সার্জন,,,,সার্জন,স্ত্রীরোগ বিশেষজ্ঞ,এমারজেন্সি এমারজেন্সি এমারজেন্সি এমারজেন্সি আমি একজন মহিলা মহিলা স্ত্রীরোগ বিশেষজ্ঞ ডাক্তার দেখাতে চাই । কোথাও ডাক্তার নেই । সবাই বলে সরকারি হাসপাতালে নাকি সব করোনা রোগী সেখানে যাওয়া নাকি ঠিক না ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ট্যাবলেট এলাট্রল রাতে একটা করে খেতে পারেন । একজন মেডিসিন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,,,ট্যাবলেট এলাট্রল,মেডিসিন ডাক্তারের,,রাতে একটা,,মেডিসিন ডাক্তারের,স্নায়ুরোগ বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ট্যাবলেট এলাট্রল রাতে একটা করে খেতে পারেন । একজন স্নায়ুরোগ বিশেষজ্ঞের পরামর্শ নিতে পারেন । ধন্যবাদ
গ্রাহক ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনি আপনার এই সমস্যার জন্য অতি দ্রুত একজন মেডিসিন বিশেষজ্ঞ বা ক্যান্সার বিশেষজ্ঞের পরামর্শ নি । ধন্যবাদ,,,,মেডিসিন বিশেষজ্ঞ | ক্যান্সার বিশেষজ্ঞের,,,,মেডিসিন বিশেষজ্ঞ | ক্যান্সার বিশেষজ্ঞের,অভ্যন্তরীণ রোগ বিশেষজ্ঞ,গ্রাহক ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনি আপনার এই সমস্যার জন্য অতি দ্রুত একজন অভ্যন্তরীণ রোগ বিশেষজ্ঞ বা ক্যান্সার বিশেষজ্ঞের পরামর্শ নি । ধন্যবাদ
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি যেহেতু রাত জাগা বন্ধ করতে পারছেন না তাই এই বিষয়ে দুশ্চিন্তা করা দূর করুন । চুল পড়ার আরো অনেক কারন আছে । যেমন খুশকি , থাইরয়েড সমস্যা , হরমনের সমস্যা , কিছু অভ্যাস যেমন মাথার চুলে বার বার হাত দেয়া , দুশ্চিন্তা ইত্যাদি । আপনি অন্য কারন আছে কিনা তা জানার চেষ্টা করুন । একজন চর্ম রোগের ডাক্তার কে দ্বখান । ধন্যবাদ",চুল পড়ার | দেয়া,খুশকি | থাইরয়েড সমস্যা | হরমনের সমস্যা,,চর্ম রোগের ডাক্তার,,,,চর্ম রোগের ডাক্তার,হরমোন বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি যেহেতু রাত জাগা বন্ধ করতে পারছেন না তাই এই বিষয়ে দুশ্চিন্তা করা দূর করুন । চুল পড়ার আরো অনেক কারন আছে । যেমন খুশকি , থাইরয়েড সমস্যা , হরমনের সমস্যা , কিছু অভ্যাস যেমন মাথার চুলে বার বার হাত দেয়া , দুশ্চিন্তা ইত্যাদি । আপনি অন্য কারন আছে কিনা তা জানার চেষ্টা করুন । একজন হরমোন বিশেষজ্ঞ কে দ্বখান । ধন্যবাদ"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি কতদিন যাবত এ সমস্যায় ভুগছেন ? আপনার নিবিড় চিকিৎসা প্রয়োজন । একজন Gastroenterologist এর সাথে যোগাযোগ করুন । প্রয়োজনে App এর Video Consultation এর সহায়তা নিতে পারেন । ধন্যবাদ । ,,,,Gastroenterologist,,,,Gastroenterologist,Hepatologist,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি কতদিন যাবত এ সমস্যায় ভুগছেন ? আপনার নিবিড় চিকিৎসা প্রয়োজন । একজন Hepatologist এর সাথে যোগাযোগ করুন । প্রয়োজনে App এর Video Consultation এর সহায়তা নিতে পারেন । ধন্যবাদ ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । সমস্যাটি দেখা প্রয়োজন । একজন চর্মরোগ বিশেষজ্ঞের সাথে সরাসরি যোগাযোগ করে সমস্যাটি দেখিয়ে এর চিকিৎসা নিন । ধন্যবাদ । ,,,,চর্মরোগ বিশেষজ্ঞের,,,,চর্মরোগ বিশেষজ্ঞের,অ্যালার্জি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । সমস্যাটি দেখা প্রয়োজন । একজন অ্যালার্জি বিশেষজ্ঞের সাথে সরাসরি যোগাযোগ করে সমস্যাটি দেখিয়ে এর চিকিৎসা নিন । ধন্যবাদ ।
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । কিছু মেডিসিন নাকের ড্রপ এর সাথে দিলে সমস্যা করে । cardiologist এর সাথে কথা বলে নেন । ধন্যবাদ । ,,,নাকের ড্রপ,cardiologist,,,,cardiologist,otolaryngologist,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । কিছু মেডিসিন নাকের ড্রপ এর সাথে দিলে সমস্যা করে । otolaryngologist এর সাথে কথা বলে নেন । ধন্যবাদ ।
আপনার এই ব্যাথা মাইগ্রেন টাইপ ব্যথা । আপনার যে কাজ গুলো বা যে খাবার খেলে ব্যথা হয় সেগুলো কে পরিহার করে চলতে হবে । ব্যথা হলে Tab . Napa Extra / Tufnil খেতে পারেন । আপনি একজন চক্ষু বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । চোখের পাওয়ার পরীক্ষা করুন । ধন্যবাদ । ,ব্যথা,মাইগ্রেন,Tab . Napa Extra / Tufnil,চক্ষু বিশেষজ্ঞ,,,,চক্ষু বিশেষজ্ঞ,স্নায়ুরোগ বিশেষজ্ঞ,আপনার এই ব্যাথা মাইগ্রেন টাইপ ব্যথা । আপনার যে কাজ গুলো বা যে খাবার খেলে ব্যথা হয় সেগুলো কে পরিহার করে চলতে হবে । ব্যথা হলে Tab . Napa Extra / Tufnil খেতে পারেন । আপনি একজন স্নায়ুরোগ বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । চোখের পাওয়ার পরীক্ষা করুন । ধন্যবাদ ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার ঘার ব্যাথা প্রেশারের কারনে হতে পারে । প্রেশার মাপুন । বেশি থাকলে একজন হৃদরোগের ডাক্তার দেখাতে পারেন । প্যারাসিটামল ৫০০ মিলিগ্রাম খাবারের পর খেতে পাতেন । ধন্যবাদ । ,,,প্যারাসিটামল ৫০০ মিলিগ্রাম,হৃদরোগের ডাক্তার,,,,হৃদরোগের ডাক্তার,মেডিসিন বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার ঘার ব্যাথা প্রেশারের কারনে হতে পারে । প্রেশার মাপুন । বেশি থাকলে একজন মেডিসিন বিশেষজ্ঞ দেখাতে পারেন । প্যারাসিটামল ৫০০ মিলিগ্রাম খাবারের পর খেতে পাতেন । ধন্যবাদ ।
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । চর্ম ডাক্তার এর পরামর্শ নিন । ধন্যবাদ । ,,,,চর্ম ডাক্তার,,,,চর্ম ডাক্তার,অ্যালার্জি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । অ্যালার্জি বিশেষজ্ঞ এর পরামর্শ নিন । ধন্যবাদ ।
প্রশ্ন করার জন্য ধন্যবাদ । আপনি syp Mucolyt . . . দুই চামচ করে দিনে তিনবার ৭ দিন খাবেন । এরপর কোন সমস্যা থাকলে একজন ডাক্তারের সাথে সরাসরি ভাবে কথা বলবেন । ধন্যবাদ । ,,,syp Mucolyt,ডাক্তারের,,দুই চামচ করে দিনে তিনবার,,ডাক্তারের,মেডিসিন বিশেষজ্ঞের,প্রশ্ন করার জন্য ধন্যবাদ । আপনি syp Mucolyt . . . দুই চামচ করে দিনে তিনবার ৭ দিন খাবেন । এরপর কোন সমস্যা থাকলে একজন মেডিসিন বিশেষজ্ঞের সাথে সরাসরি ভাবে কথা বলবেন । ধন্যবাদ ।
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । একজন শিশু ডাক্তার দিয়ে দেখান । পরিক্ষা করতে হবে । জর কত ? ধন্যবাদ । ,,,,শিশু ডাক্তার,,,,শিশু ডাক্তার,শিশু সংক্রামক রোগ বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । একজন শিশু সংক্রামক রোগ বিশেষজ্ঞ দিয়ে দেখান । পরিক্ষা করতে হবে । জর কত ? ধন্যবাদ ।
ওয়ালিকুম সালাম । ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । চোখের ডাক্তার এর পরামর্শ নিন । ধন্যবাদ । ,,,,চোখের ডাক্তার,,,,চোখের ডাক্তার,চক্ষু বিশেষজ্ঞ,ওয়ালিকুম সালাম । ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । চক্ষু বিশেষজ্ঞ এর পরামর্শ নিন । ধন্যবাদ ।
ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । না দেখে সমাধান দেয়া যাচ্ছেনা । সরাসরি একজন চর্ম বিশেষজ্ঞ দেখান । ধন্যবাদ,,,,চর্ম বিশেষজ্ঞ,,,,চর্ম বিশেষজ্ঞ,অ্যালার্জি বিশেষজ্ঞ,ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । না দেখে সমাধান দেয়া যাচ্ছেনা । সরাসরি একজন অ্যালার্জি বিশেষজ্ঞ দেখান । ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি থাইরয়েড পরীক্ষা করান । পানি বেশি করে পান করুন । একজন মেডিসিন বিশেষজ্ঞ কে দেখিয়ে নিতে পারেন । ধন্যবাদ । ,,,,মেডিসিন বিশেষজ্ঞ,,,থাইরয়েড পরীক্ষা,মেডিসিন বিশেষজ্ঞ,এন্ডোক্রাইন বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি থাইরয়েড পরীক্ষা করান । পানি বেশি করে পান করুন । একজন এন্ডোক্রাইন বিশেষজ্ঞ কে দেখিয়ে নিতে পারেন । ধন্যবাদ ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি যদি বিবাহিত হন তাহলে প্রেগন্যান্সি পরীক্ষা করান । পরীক্ষার রিপোর্ট পজেটিভ হলে আপনি প্রেগন্যান্ট । আর অন্য কিছু হলে আপনি একজন গাইনী চিকিৎসক এ - র পরামর্শ নিন । ধন্যবাদ । ,,,,গাইনী চিকিৎসক,,,,গাইনী চিকিৎসক,প্রসূতি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি যদি বিবাহিত হন তাহলে প্রেগন্যান্সি পরীক্ষা করান । পরীক্ষার রিপোর্ট পজেটিভ হলে আপনি প্রেগন্যান্ট । আর অন্য কিছু হলে আপনি একজন প্রসূতি বিশেষজ্ঞ এ - র পরামর্শ নিন । ধন্যবাদ ।
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । পরীক্ষার মাধ্যমে সমস্যার বর্তমান অবস্থা দেখে এর চিকিৎসা করতে হবে , প্রাথমিক অবস্থায় একজন ব্যায়ামের মাধ্যমে ভালো হওয়া সম্ভব । একজন অর্থোপেডিক্স বিশেষজ্ঞের সাথে যোগাযোগ করে এর চিকিৎসা নিন । ধন্যবাদ । ",,,,অর্থোপেডিক্স বিশেষজ্ঞের,,,,অর্থোপেডিক্স বিশেষজ্ঞের,ফিজিওথেরাপি বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । পরীক্ষার মাধ্যমে সমস্যার বর্তমান অবস্থা দেখে এর চিকিৎসা করতে হবে , প্রাথমিক অবস্থায় একজন ব্যায়ামের মাধ্যমে ভালো হওয়া সম্ভব । একজন ফিজিওথেরাপি বিশেষজ্ঞের সাথে যোগাযোগ করে এর চিকিৎসা নিন । ধন্যবাদ ।"
"ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি শুরু থেকে যে নিয়মে ঔষধটি খেয়ে আসছেন , সে ভাবেই খেতে থাকুন । অনেক ক্ষেত্রে এমন মাসিকের আগে হালকা ব্লিডিং হতে পারে এবং তা আবার ঠিকও হয়ে যায় । আপনি আরও কয়েকটি সাইকেল পর্যবেক্ষণ করুন । লক্ষ্য রাখুন অন্য কোন সমস্যা হয় কিনা অথবা কোন তীব্র ব্যথা হয় কিনা । প্রয়োজনে একবার গাইনী ডাক্তারের পরামর্শ নিয়ে নিন । ধন্যবাদ । ",,,,গাইনী ডাক্তারের,,,,গাইনী ডাক্তারের,স্ত্রীরোগ বিশেষজ্ঞের,"ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি শুরু থেকে যে নিয়মে ঔষধটি খেয়ে আসছেন , সে ভাবেই খেতে থাকুন । অনেক ক্ষেত্রে এমন মাসিকের আগে হালকা ব্লিডিং হতে পারে এবং তা আবার ঠিকও হয়ে যায় । আপনি আরও কয়েকটি সাইকেল পর্যবেক্ষণ করুন । লক্ষ্য রাখুন অন্য কোন সমস্যা হয় কিনা অথবা কোন তীব্র ব্যথা হয় কিনা । প্রয়োজনে একবার স্ত্রীরোগ বিশেষজ্ঞের পরামর্শ নিয়ে নিন । ধন্যবাদ ।"
Thank you for asking question to Daktarbhai . Pls consult medicine specialist physically . And for cough and headache you can take syrp ambrox 2tbs x 3 times daily ( after meal ) and tab napa extend - - after meal ( if headache ) . Thank you,,,syrp ambrox | tab napa extend,medicine specialist,,2tbs x 3 times daily ( after meal ),,medicine specialist,internal medicine specialist,Thank you for asking question to Daktarbhai . Pls consult internal medicine specialist physically . And for cough and headache you can take syrp ambrox 2tbs x 3 times daily ( after meal ) and tab napa extend - - after meal ( if headache ) . Thank you
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । ওজন বাড়ানোর অনেক ডায়েট প্লান আছে যা বয়স ও উচ্চতা অনুযায়ী একজন ডায়েটিসিয়ান দিয়ে থাকেন । আমি আপনাকে একটি সহজ প্লান দিচ্ছি । আপনি মাংস , দুধ , ডিম , ভাত , আলু , মিষ্টি , মাছ বেশি করে খাবেন । নিয়মিত ব্যায়াম করবেন । রাত জাগবেন না । দুশ্চিন্তা করবেন না । ধন্যবাদ",,,,ডায়েটিসিয়ান,,,,ডায়েটিসিয়ান,পুষ্টিবিদ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । ওজন বাড়ানোর অনেক ডায়েট প্লান আছে যা বয়স ও উচ্চতা অনুযায়ী একজন পুষ্টিবিদ দিয়ে থাকেন । আমি আপনাকে একটি সহজ প্লান দিচ্ছি । আপনি মাংস , দুধ , ডিম , ভাত , আলু , মিষ্টি , মাছ বেশি করে খাবেন । নিয়মিত ব্যায়াম করবেন । রাত জাগবেন না । দুশ্চিন্তা করবেন না । ধন্যবাদ"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পানি ও ওরস্যালাইন খেতে পারেন । ক্যালসিয়াম , ভিটামিন বি১ , বি৬ , বি ১২ খেয়ে দেখতে পারেন । একজন মেডিসিন ডাক্তারকে দেখিয়ে নিন । ধন্যবাদ",,,"ওরস্যালাইন | ক্যালসিয়াম | ভিটামিন বি১ , বি৬ , বি ১২",মেডিসিন ডাক্তারকে,,,,মেডিসিন ডাক্তারকে,সাধারণ চিকিৎসককে,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পানি ও ওরস্যালাইন খেতে পারেন । ক্যালসিয়াম , ভিটামিন বি১ , বি৬ , বি ১২ খেয়ে দেখতে পারেন । একজন সাধারণ চিকিৎসককে দেখিয়ে নিন । ধন্যবাদ"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার রক্তের পরিমান মোটামুটি ঠিক আছে । থ্যালাসেমিয়া আছে কিনা তা জানার জন্য অন্য পরীক্ষার প্রয়োজন । আপনার বাবা মা কারো থ্যালাসেমিয়া থাকলে একজন রক্ত রীগ বিশেষজ্ঞ কে দেখিয়ে প্রয়োজনীয় পরীক্ষা করিয়ে নিশ্চিত হন যে আপনার থ্যালাসেমিয়া আছে কিনা । ধন্যবাদ,,থ্যালাসেমিয়া | থ্যালাসেমিয়া | থ্যালাসেমিয়া,,রক্ত রীগ বিশেষজ্ঞ,,,,রক্ত রীগ বিশেষজ্ঞ,হেমাটোলজি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার রক্তের পরিমান মোটামুটি ঠিক আছে । থ্যালাসেমিয়া আছে কিনা তা জানার জন্য অন্য পরীক্ষার প্রয়োজন । আপনার বাবা মা কারো থ্যালাসেমিয়া থাকলে একজন হেমাটোলজি বিশেষজ্ঞ কে দেখিয়ে প্রয়োজনীয় পরীক্ষা করিয়ে নিশ্চিত হন যে আপনার থ্যালাসেমিয়া আছে কিনা । ধন্যবাদ
ধন্যবাদ আপনাকে প্রশ্নের জন্য ৷ অতিদ্রুত একজন শিশু বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । এই এপে ভিডিও কলে ডাক্তারের পরামর্শ পেতে পারেন । ধন্যবাদ,,,,শিশু বিশেষজ্ঞ,,,,শিশু বিশেষজ্ঞ,নবজাতক বিশেষজ্ঞ,ধন্যবাদ আপনাকে প্রশ্নের জন্য ৷ অতিদ্রুত একজন নবজাতক বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । এই এপে ভিডিও কলে ডাক্তারের পরামর্শ পেতে পারেন । ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । কবজির রগ কাটলে একজন অর্থপেডিক্স বিশেষজ্ঞ কে দ্রুত দেখাতে হবে । দেড়ি করলে আপনার হাত আগের মত আর কাজ নাও করতে পারে । ধন্যবাদ,,,,অর্থপেডিক্স বিশেষজ্ঞ,,,,অর্থপেডিক্স বিশেষজ্ঞ,হাতের সার্জারি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । কবজির রগ কাটলে একজন হাতের সার্জারি বিশেষজ্ঞ কে দ্রুত দেখাতে হবে । দেড়ি করলে আপনার হাত আগের মত আর কাজ নাও করতে পারে । ধন্যবাদ
