serial_no,question,answer
531,আজকাল অধিক হারে শ্বাস-কষ্ট রোগের জন্য কোনটি দায়ী?,CO
532,ফুসফুসের ক্যান্সারের জন্য দায়ী-,SiO₂
533,নিম্নের কোনটি বৃক্কের কাজ নয়?,শ্বেত রক্তকণিকা তৈরিতে ভূমিকা রাখা
534,মানুষের রেচনতন্ত্রের সাহায্যে দেহের প্রায় কত শতাংশ রেচিত হয়?,৮০
535,কোনটি মানবদেহের রেচন/রেচনতন্ত্র এর জন্য সঠিক নয়?,সাধারণত মূত্রের pH কিছুটা আম্লিক
536,বৃক্কের কাজ নয় কোনটি?,রক্তে অম্লের পরিমান বৃদ্ধি করা
537,নিম্নের কোনটি বৃক্ক সম্পর্কে সঠিক নয়?,অসমোরেগুলেশনের প্রধান অঙ্গ হচ্ছে বৃক্ক
538,রেচনতন্ত্রের নিচের কোনটি ইউরেটার নামক নালি গঠন করে?,সংগ্রাহক নালিকা
539,লুপ অফ হেন্সি শরীরের নিম্নলিখিত কোন অঙ্গের অংশ?,বৃক্ক
540,নিম্নের কোন তথ্যটি নেফ্রনের জন্য প্রযোজ্য হবে?,ক্রনীয় মেসোডার্ম থেকে সৃষ্ট
541,প্রতিটি বৃক্কে নেফ্রন থাকে-,প্রায় ১০ থেকে ১২ লক্ষ
542,কোন অংশটি রেনাল টিউব্যুল এর অংশ নয়?,অ্যাফারন্ট আর্টারিওল
543,নেফ্রন কোনটির একক-,বৃক্ক
544,গ্লোমেরুলাসের কাজ হল-,পরিস্রাবণ
545,বৃক্কে বিদ্যমান-,নেফ্রন
546,প্রক্সিমাল প্যাঁচানো নালিকায় নিম্নের কোনটির সক্রিয় ক্ষরণ হয়?,ক্রিয়েটিনিন
547,মূত্রের উপাদান নয় কোনটি?,বিলিরুবিন
548,মানুষের গ্লোমেরুলাসে পরিদ্রুত মূত্র ADH এর প্রভাব ছাড়া নিম্নের (%) কতভাগ পুনঃশোষণ প্রক্রিয়ায় নেফ্রনের প্রক্সিমাল প্যাঁচানো নালিকায় শোষিত হয়?,60
549,কোন ধাপটি মূত্র সৃষ্টির জন্য প্রয়োজন নয়?,নির্বাচনমূলক পুণঃশোষণ
550,কোন রঞ্জক পদার্থের জন্য মূত্র তার স্বাভাবিক খড় রং প্রাপ্ত হয়?,ইউরোক্রোম
551,মূত্র তৈরি হয় কোথায়?,বৃক্ক
552,স্ফেনয়েড অস্থি কঙ্কালের কোন অংশে থাকে?,করোটিকা
553,কোনটি মানবদেহের টার্সাল অস্থির অন্তর্ভূক্ত নয়?,ট্রাপেজিয়াম
554,নিম্নলিখিত কয়টি অস্থি নিয়ে মানব করোটি গঠিত?,29
555,মানুষের গ্রীবাদেশীয় কশেরুকার নিম্নের কোনটির নাম অ্যাক্সিস?,দ্বিতীয়
556,নিম্নের কোনটি মানুষের মুখমন্ডলীর অস্থি?,ভোমার
557,করোটিকার অস্থি নয় কোনটি?,হাইঅয়েড অস্থি
558,গ্লেনয়েড গহ্বর কোথায় থাকে?,অগ্রপদে
559,হিউমেরাস কোন অস্থিটিকে বলা হয়?,বাহুর অস্থি
560,ফিমার কোন অস্থিটিকে বলা হয়?,উরুর অস্থি
561,উপরের চোয়াল যে ধরনের অস্থি?,বায়ুপূর্ণ অস্থি
562,কোনটি মানবদেহের করোটির অস্থি?,টেমপোরাল
563,মুখমণ্ডলীয় অস্থির সংখ্যা নিচের কোনটি?,14
564,নিম্নের কোনটিতে তরুণাস্থি নাই?,মুত্রথলি
565,গোড়ালার পেশা নিম্নের কোনটি?,গ্যাস্ট্রকনেমিয়াস
566,নিম্নের কোন তথ্যটি সঠিক?,টেন্ডন পেশীকে অস্থির সঙ্গে সংযুক্ত রাখে
567,নিম্নে উল্লেখিত কোন অঙ্গে স্থিতিস্থাপক তরুণাস্থি থাকে?,বহিঃকর্ণ
568,সিমফাইসিস নিম্নের কোন অস্থি সন্ধি?,তরুণাস্থিময়
569,ম্যাট্রিক্সের গঠনের উপর ভিত্তি করে যেটি তরুণাস্থির প্রকারভেদে পড়বে না-,স্পঞ্জি
570,মানবদেহের সাইনোভিয়াল অস্থিসন্ধি নয় কোনটি?,সিমফাইসিস
571,চলনের সময় পায়ের কোন পেশি সংকোচন এর ফলে গোড়ালির অস্থিটিতে চাপ পড়ে ফলে গোড়ালি মাটি থেকে উত্থিত হয়?,সোলিয়াস
572,নিম্নের কোন অস্থিতে মজ্জা গহ্বর নাই?,ক্ল্যাভিকল
573,দাঁত ও চোয়াল কোটরের মধ্যস্থিত সন্ধি নিম্নের কোনটি?,গমফোসিস
574,ঐচ্ছিক পেশী পাওয়া যায়-,কঙ্কালতন্ত্রের গায়ে
575,নিম্নের কোনটিতে ঐচ্ছিক পেশী থাকে না?,জরায়ু
576,নিম্নের কোন তথ্যটি সঠিক নয়?,হৃদপেশী ঐচ্ছিক পেশী
577,নিম্নের কোনটি হৃদপেশীর বৈশিষ্ট্য নয়?,নিউক্লিয়াস একাধিক এবং একপাশে থাকে
578,নিম্নের কোন তথ্যটি সঠিক?,হৃদপেশি এক ধরনের অনৈচ্ছিক পেশি
579,হিউমেরাসের বাইসিপেটাল গ্রুভে যে পেশিটির প্রান্তীয় অবস্থান রয়েছে-,বাইসেপস
580,যেটি স্নায়ুতন্ত্রের সঙ্গে সম্পর্কিত নয়-,মেলানিন
581,কোন এনজাইম স্নায়ু উদ্দীপনা পরিবহনে গুরুত্বপূর্ণ ভূমিকা পালন করে?,অ্যাসিটাইলকোলিন এস্টারেজ
582,নিম্নের কোনটি দেহের ভারসাম্য রক্ষায় ভূমিকা রাখে না?,হাইপোথ্যালামাস
583,নিম্নের কোন করোটিক স্নায়ু চোয়ালের সঞ্চালনে সাহায্য করে?,ট্রাইজেমিনাল
584,নিম্নের কোন স্নায়ু ঘ্রাণের সঙ্গে জড়িত?,অলফ্যাক্টরি
585,নিম্নের কোনটি সঠিক নয়?,ভেস্টিবুলার স্নায়ু মানুষকে শ্রবণে সাহায্য করে
586,নিম্নের কোনটি সঠিক নয়?,অডিটরি স্নায়ু চেষ্টীয় ভারসাম্য নিয়ন্ত্রনের
587,কোন তথ্যটি ফেসিয়াল স্নায়ুর জন্য সঠিক নয়?,উৎস: মেডুলা অবলঙ্গাটা
588,ফেসিয়াল স্নায়ুর কাজ কোনটি?,সবগুলো
589,নিম্নের কোন তথ্যটি হাইপোগ্লোসাল স্নায়ুর জন্য সঠিক নয়?,প্রকৃতি: সংবেদী
590,নিম্নের কোনটি দশম করোটিক স্নায়ু?,ভেগাস
591,মল-মূত্র ত্যাগ নিয়ন্ত্রণ করে মস্তিষ্কের নিম্নের কোন অংশ?,মেডুলা অবলঙ্গাটা
592,মস্তিষ্ক সম্পর্কে নিম্নের কোন তথ্যটি সঠিক?,পরিপাক নিয়ন্ত্রণ কেন্দ্র মেডুলা অবলংগাটায় থাকে
593,নিম্নের কোনটি সেরেব্রোস্পাইনাল ফ্লুইডের কাজ নয়?,শ্বসনিক গ্যাসের বিনিময় ঘটানো
594,নিম্নের কোনটি অগ্রমস্তিস্কের অংশ নয়?,সেরেবেলাম
595,"আবেগ, উদ্বেগ প্রভৃতির প্রধান কেন্দ্র হিসেবে কাজ করে-",হাইপোথ্যালামাস
596,হাইপোথ্যালামাসের কাজ কোনটি?,দেহে তাপ নিয়ন্ত্রণ করে
597,নিম্নের কোনটি সেরেবেলামের কাজ নয়?,স্বাভাবিক শ্বাসক্রিয়ার হারকে নিয়ন্ত্রণ করে
598,নিম্নের কোনটি চোখের কোরয়েড-এর অংশ নয়?,রেটিনা
599,নিম্নে উল্লেখিত চোখের কোন অংশে বস্তুর প্রতিবিম্ব সৃষ্ট হয়?,রেটিনা
600,কোন উক্তিটি সত্য নয়?,রেটিনার 'রড' কোষগুলি উজ্জ্বল আলোকে সংবেদী
601,কোনটি অক্ষিপেশী নয়?,সুপিরিয়ার সেক্টাস
602,নিম্নের কোনটি দৃষ্টির ত্রুটি নয়?,অ্যামিনিয়া
603,হার্ডেরিয়ান গ্রন্থির অবস্থান যেখানে-,চক্ষু
604,যেটি সত্য নয়-,রেটিনার কোণ কোষগুলিতে ভিটামিন 'এ' এবং রডোপসিন নামক লালচে বেগুনী বর্ণের আমিষ জাতীয় রঞ্জক পদার্থ বিদ্যমান
605,মানুষের চোখের ভিতরে আলোর পরিমাণ নিয়ন্ত্রণ করে-,চক্ষুমণিকা বা তারারন্ধ্র
606,কোনটি সত্য?,কর্নিয়া প্রতিসরণশীল বলে আলোক রশ্মি প্রবেশে অনুমতি দেয়
607,রডোপসিন চোখের কোন অংশে পাওয়া যায়?,রেটিনা
608,চোখের কনজাংক্টিভা সিক্ত রাখে-,ল্যাক্রিমাল গ্রন্থি
609,নিম্নের কোনটি চোখের কোরয়েডের অংশ?,আইরিশ
610,নিম্নের কোনটি শরীরের ভারসাম্য রক্ষা করে?,ভেস্টিবুলার যন্ত্র
611,কোনটি মানুষের কানের ক্যুপুলার কাজ?,ভারসাম্য রক্ষা করা
612,কর্ণাস্থি স্টেপিস অন্তঃকর্ণ ও মধ্যকর্ণের মধ্যবর্তী প্রাচীরে যে পর্দার সঙ্গে যুক্ত থাকে সেটি হল-,ফেনেস্ট্রা ওভালিস
613,কোন অঙ্গটির অবস্থান সম্পর্কবোধ সৃষ্টি করে?,অর্ধবৃত্তাকার নালি
614,কর্ণপটহের ভিতরে ও বাইরে বায়ুর চাপের সমতা রক্ষা করে-,ইউস্টেশিয়ান নালি
615,অর্গান অব কর্টি কোথায় থাকে?,ককলিয়াতে
616,শ্রবণ ছাড়াও কর্ণের অন্যতম কাজ-,দেহের ভারসাম্য রক্ষা করা
617,কোন অস্থিটি মধ্যকর্ণে নেই?,অ্যাটলাস
618,নিম্নের কোনটি বহিঃকর্ণে থাকে?,পিনা
619,পিটুইটারী গ্রন্থি সম্পর্কে কোন তথ্যটি সঠিক নয়?,এটি থেকে স্টেরয়েড হরমোন নিঃসৃত হয়
620,নিম্নের কোন হরমোন আয়নের সমতা রক্ষার কাজ করে?,অ্যালডোস্টেরন
621,নিম্নের কোনটি হৃদপিন্ডের সংকোচনের শক্তিকে বাড়ায়?,এডরেনালিন
622,পোস্টেরিয়র পিটুইটারী থেকে নিম্নের কোন হরমোন নিঃসরণ হয়?,অক্সিটোসিন
623,নিম্নের কোন হরমোন থাইরয়েড গ্রন্থি থেকে নিঃসৃত হয় না?,থাইমোক্রাইসিন
624,নিম্নে উল্লেখিত কোনটি থেকে টেস্টোস্টেরণ হরমোন নিঃসৃত হয়?,ইন্টারস্টিশিয়াল কোষ
625,ইনসুলিন নিঃসৃত হয় কোনটি থেকে?,অগ্ন্যাশয় গ্রন্থির আইলেটস অব ল্যাঙ্গারহ্যান্স
626,হরমোনের বৈশিষ্ট্য নয় কোনটি?,হরমোন প্রধানত এক প্রকার শর্করা জাতীয় পদার্থ
627,যে গ্রন্থিটি ক্যালসিয়াম বিপাকে সাহায্য করে-,প্যারাথাইরয়েড
628,পিটুইটারী গ্রন্থির পশ্চাৎবর্তী অংশ হতে কোন হরমোনটি নিঃসৃত হয়?,ভ্যাসোপ্রেসিন
629,নালিবিহীন গ্রন্থি কোনটি?,প্যারাথাইরয়েড
630,প্যারাথাইরয়েড গ্রন্থি থেকে নিঃসৃত হরমোন-,সবগুলো
631,কোনটি অন্তঃক্ষরা গ্রন্থি নয়?,যকৃত
632,মানবদেহের সর্ববৃহৎ গ্রন্থি কোনটি?,যকৃত
633,নিম্নের কোনটি পুরুষ প্রজননতন্ত্রের অন্তর্ভূক্ত নয়?,বার্থোলিন গ্রন্থি
634,মানুষের শুক্রানু প্রতি সেকেন্ডে কত মিলিমিটার পথ অতিক্রম করতে পারে?,১-৪
635,নিম্নের কোন তথ্যটি সঠিক নয়?,শুক্রাশয়ের সারটলি কোষ টেস্টোস্টেরন নামক গুরুত্বপূর্ণ যৌন হরমোন নিঃসরণ করে
636,স্ক্রোটামের অভ্যন্তরীণ তাপমাত্রা দেহ গহ্বর থেকে কত কম বা বেশী?,৩ সেন্টিগ্রেড কম
637,কোনটি উওজেনেসিসে ঘটে না?,"উৎপন্ন ডিম্বাণু ছোট, সক্রিয় ও চলাচলে সক্ষম"
638,নিম্নের কোনটি সঠিক?,আমিষ জাতীয় খাদ্য বিপাকের ফলে নাইট্রোজেনযুক্ত বর্জ্য পদার্থ সৃষ্টি হয়
639,নিম্নের কোন তথ্যটি সঠিক নয়?,করপাস লুটিয়াম থেকে লুটিনাইজিং হরমোন নিঃসৃত হয়
640,সাধারণত রজঃচক্র কতদিন স্থায়ী হয়?,৪-৫
641,যেটি গর্ভাবস্থায় অমরার কাজ নয়-,লুটিনাইজিং হরমোন নিঃসৃতকরণ
642,স্ত্রীলিঙ্গের কোন অংশে ভ্রূণ বর্ধিত হয়?,গর্ভাশয়
643,ডিম্বাণুতে কতটি ক্রোমোসোম থাকে?,তেইশটি
644,মানুষের জরায়ু গর্ভাবস্থায় কত গুণ বৃদ্ধি পায়?,২০
645,ফিলোপিয়ান টিউব কোথায় থাকে?,স্ত্রী প্রজননতন্ত্রে
646,জরায়ুর প্রাচীর কয়টি স্তরে বিভক্ত?,৩টি
647,ডিম্বাশয় কোন পেরিটোনিয়াম পর্দা দ্বারা আবৃত?,মেসোভেরিয়াম
648,নিচের কোনটি স্ত্রী প্রজননতন্ত্রের অংশ নয়?,কাওপার-এর গ্রন্থি
649,ফেলোপিয়ান নালির যে অংশ জরায়ু প্রাচীরের কাছে থাকে-,ইসথমাস
650,যোনি প্রাচীরের ভাঁজকে বলা হয়-,রুগী
651,নারীর বয়ঃপ্রাপ্তিতে কোন হরমোনের ভূমিকা নেই?,ভ্যাসোপ্রেসিন
652,নিম্নলিখিত কোনটি মেসোডার্ম থেকে গঠিত হয় না?,স্নায়ুতন্ত্র
653,নিম্নের কোনটি ভ্রূণের এক্টোডার্ম থেকে তৈরি?,স্নায়ুতন্ত্র
654,কোনটি অ্যালানটয়েসের কাজ নয়?,অঙ্গ প্রত্যঙ্গের সুষ্ঠু বিকাশে সাহায্য করে
655,উওজেনেসিসে মোট পোলারবডি তৈরী হয়-,৩
656,নিচের কোনটি গ্যামিটোজেনেসিসের জন্য সঠিক নয়?,ব্যাঙের সাইটোপ্লাজমসহ ডিম্বাণু নিউক্লিয়াসটি কুসুম থেকে পৃথক হয়ে ডিম্বাণুর নিম্নপ্রান্ত জুড়ে থাকে
657,কোনটি উওজেনেসিসের জন্য প্রযোজ্য নয়?,পূর্ণতা প্রাপ্তির শেষ পর্যায় ডিম্বাশয়ের ভিতরে সম্পন্ন হয়
658,ট্রফোব্লাস্ট থেকে ভিলাই বেরোতে থাকে-,দ্বিতীয় সপ্তাহের শেষ দিকে
659,স্নায়ুতন্ত্র গঠিত হয়-,এক্টোডার্ম থেকে
660,কোনটি উওজেনেসিসের ক্ষেত্রে প্রযোজ্য নয়?,একটি উওগোনিয়াম থেকে চারটি কার্যক্ষম ডিম্বাণু সৃষ্টি হয়
661,যকৃত ও অগ্ন্যাশয় সৃষ্টি হয় কোনটি থেকে?,এন্ডোডার্ম
662,কোনটি মেসোডার্ম থেকে তৈরি হয়?,কঙ্কালতন্ত্র
663,ব্লাস্টোসিস্ট মানুষের জরায়ুর কোন স্তরে গ্রথিত হয়?,এন্ডোমেট্রিয়াম
664,মানুষের ডিম্বাণু কোন ধরনের?,মাইক্রোলেসিথাল
665,আবরণী কলার কোষগুলো ভ্রূণের কোন স্তর হতে উৎপন্ন হয়?,এক্টোডার্ম
666,ইন্টারফেরনের কাজ নয় কোনটি?,হরমোন উৎপাদনে সাহায্য করা
667,নিচের কোন গ্রন্থি মোমের মতো আঠালো পদার্থ তৈরি করে?,সেরুমিনাস
668,নিচের কোনটি এককোষী গ্রন্থি?,গবলেট
669,সিবাম নিচের কোন গ্রন্থি থেকে নিঃসৃত হয়?,সিবেসিয়াস
670,মৃত Salmonella typhi জীবাণু থেকে নিম্নের কোনটি তৈরি করা হয়?,টাইফয়েড ভ্যাকসিন
671,বংশগতি বিদ্যার জনক গ্রেগর জোহান মেন্ডেল কোন দেশে জন্ম গ্রহণ করেন?,অস্ট্রিয়া
672,প্রথম সংকর পুরুষের সাথে প্রচ্ছন্ন বা প্রকট বংশধরের ক্রস হলো-,ব্যাক ক্রস
673,যে জিন বৈশিষ্ট্য প্রকাশে বাধা পায় তাকে বলে-,Hypostatic
674,বংশগতির ধারক নিম্নের কোনটি?,ক্রোমোসোম
675,জীবের প্রকাশিত লক্ষণকে বলা হয়-,ফিনোটাইপ
676,জিনতত্ত্বের জন্য কোনটি সঠিক নয়?,DNA হলো জীবের বংশগতির মৌলিক একক এবং এটিকে ফ্যাক্টর বা জিন বলা হয়।
677,যে জীনটি অপর জীনের বৈশিষ্ট্য প্রকাশে বাধা দান করে সে জীনকে বলে-,এপিস্ট্যাটিক জীন
678,লিথাল জিন-এর প্রভাব নেই কোন রোগে?,অস্টিওপরোসিস
679,লিথাল জীন বর্ণনা করেন সর্বপ্রথম কোন বিজ্ঞানী?,ক্যুনো
680,নিচের কোনটি দ্বৈত-প্রচ্ছন্ন এপিস্ট্যাসিস অনুপাত?,9:7
681,বংশগতির পরীক্ষার জন্য মেন্ডেল কোন গাছ নির্বাচন করেছিলেন?,মটরশুটি
682,মেন্ডেলের সূত্রের প্রকৃত ব্যতিক্রম কোনটি?,লিংকেজ
683,মেন্ডেলের দ্বিতীয় সূত্রে জিনের স্বাধীন সঞ্চারণ না ঘটলে জিনোটাইপের অনুপাত হবে-,কোনোটিই নয়
684,প্রকট এপিস্ট্যাসিস এ ব্যতিক্রমধর্মী অনুপাত হল-,১৩:৩
685,নিচের কোনটি সেক্স-লিংকড অসুখ নয়?,রক্ত স্বল্পতা
686,"একজন বাদামি চোখবিশিষ্ট পুরুষ যার বাবার চোখ বাদামি কিন্তু মায়ের চোখ নীল বর্ণের, যদি নীল চোখবিশিষ্ট মহিলাকে বিয়ে করেন তবে তাঁদের সন্তানের চোখের বৈশিষ্ট্য কী হারে পাওয়া যাবে?",৫০% বাদামি ও ৫০% নীল
687,যকৃত ও অগ্ন্যাশয় সৃষ্টি হয় কোনটি থেকে?,এন্ডোডার্ম
688,পুরুষের ক্ষেত্রে কোনটি সঠিক?,৪৪ টি অটোসোম আছে
689,মানব কোষে সেক্স ক্রোমোসোমের সংখ্যা কত?,১ জোড়া
690,বর্ণান্ধ পুরুষ ও স্বাভাবিক মহিলার মধ্যে বিয়ে হলে তাদের সন্তান হতে পারে-,কন্যা বর্ণান্ধ বাহক
691,নিচের কোনটি সেক্স-লিংকড বৈশিষ্ট্যের উদাহরণ নয়?,বহুমূত্র
692,Rh negative রক্তের গ্রুপ নিচের কোন জনগোষ্ঠীর মধ্যে সবচেয়ে বেশি পাওয়া যায়?,পাইরেনিজের বাস্ক
693,নিম্নের কোনটি ব্লাড গ্রুপের নির্দিষ্ট এন্টিজেন না?,O
694,নিচে উল্লিখিত কোন বিজ্ঞানী মানুষের রক্তের শ্রেণিবিন্যাস করেন?,কার্ল ল্যান্ডস্টেইনার
695,উইসাং নালি কোথায় অবস্থিত?,অগ্ন্যাশয়
696,নিম্নের কোনটি সঠিক নয়?,হাইড্রোক্লোরিক এসিডের উপস্থিতি পেপসিনের কার্যক্রমকে বাধাগ্রস্ত করে
697,নিম্নের বামদিকের কোনটি ডানদিকের কোনটির সঙ্গে সামঞ্জস্যপূর্ণ?,সিক্রেটিন-অগ্ন্যাশয় রস নিঃসরণ নিয়ন্ত্রণ করে
698,যকৃতের কাজ নয় কোনটি?,অ্যামাইলেজ ও লাইপেজ নিঃসরণ করা
699,অগ্ন্যাশয় কেবল-,সবকটি
700,কোন অংশটি বৃহদান্ত্রের?,সিকাম
701,যকৃতনালি পিত্তনালির সাথে মিলিত হয়ে অভিন্ন পিত্তনালি তৈরি করে। এই অভিন্ন নালি ভ্যাটার এর অ্যাম্পুলা নামে নালির মাধ্যমে কোথায় উন্মুক্ত হয়?,ডিওডেনামে
702,সিক্রেটিন ও প্যানক্রিওজাইমিন কোনটির নিঃসরণ ঘটায়?,অগ্ন্যাশয় রস
703,গ্যাস্ট্রিক রস কিসের প্রভাবে নিঃসৃত হয়?,গ্যাস্ট্রিক হরমোন
704,কোন রসে উৎসেচক থাকে না?,পিত্তরস
705,নিম্নের কোনটি অগ্ন্যাশয় থেকে নিঃসৃত হয় না?,বাইল সল্ট
706,কোনটি অগ্ন্যাশয় রসে থাকে না?,পেপসিন
707,মানবদেহে পিত্ত উৎপন্ন হয়-,যকৃত
708,নিম্নের কোনটি সঠিক নয়?,পাকস্থলীর যে অংশে অন্ননালী উন্মুক্ত হয় তা পাইলোরাস
709,অগ্ন্যাশয়ের আইলেটস অব ল্যাঙ্গারহ্যান্স নিম্নের কোন হরমোন নিঃসৃত করে?,গ্লুকাগন
710,নিচের কোন বিক্রিয়াটি সঠিক?,প্রোটিন ট্রিপসিন অ্যামাইনো এসিড
711,পাকস্থলীর পাচক রসে নিম্নের কোনটি অনুপস্থিত?,অ্যামাইলেজ
712,মানবদেহের পরিপাকের জন্য কোনটি সঠিক এনজাইমের উদাহরণ নয়?,লিপিড পরিপাকে সাহায্যকারী তান্ত্রিক রসের এনজাইম ফসফোলাইপেজ ও কোলেস্টেরল এস্টারেজ
713,কোনটি পাকস্থলীর গ্রন্থি থেকে নিঃসৃত হয় না?,টায়ালিন
714,আমিষ জাতীয় খাদ্য পরিপাকের উৎসেচক কোনটি?,পেপটাইডেজ
715,প্রোটিন পরিপাক-,পাকস্থলীতে শুরু হয়ে ক্ষুদ্রান্ত্রে শেষ হয়
716,আমিষ জাতীয় খাদ্য পরিপাকে সাহায্য করে-,পেপসিন
717,কোন উৎসেচকটি দুগ্ধ প্রোটিন পরিপাকে সাহায্য করে?,রেনিন
718,পাকস্থলীতে HCI তৈরি করে কোন কোষ?,প্যারাইটাল কোষ
719,মানবদেহের সর্ববৃহৎ গ্রন্থি কোনটি?,যকৃত
720,কোনটি ক্ষুদ্রান্ত্রের অংশ নয়?,এপেনডিক্স
721,নিচের কোন BMI (Body Mass Index) অতিরিক্ত ওজন নির্দেশ করে?,25.0 – 29.9 Kg/m²
722,নিউক্লিয়াসবিহীন কোষ হলো-,লোহিত রক্তকণিকা
723,মানুষের স্বাভাবিক রক্ত ক্ষরণকাল-,১-৪ মিনিট
724,একই সাথে শরীরে রক্তে অক্সিজেনের ঘনত্ব ও হৃৎস্পন্দনের পরিমাপক যন্ত্রের নাম কি?,পাল্সঅক্সিমিটার
725,হৃদযন্ত্রের রোগ নির্ণয়ে প্রাথমিক পরীক্ষা কোনটি?,ইসিজি
726,কৃত্রিম পেসমেকার যন্ত্রে কোন ব্যাটারি ব্যবহার করা হয়?,Li ব্যাটারি
727,শ্বসন কেন্দ্র অবস্থিত কোথায়?,পনস
728,কোনটি প্যারানাসাল সাইনাস নয়?,অক্সিপিটাল সাইনাস
729,মানুষের কব্জিতে হাড়ের সংখ্যা কত?,৮টি
730,নিচের কোনটি মিনারেলোকোর্টিকয়েড হরমোনের কাজ নয়?,হৃৎক্রিয়া বৃদ্ধি করা
731,কোনটি মিশ্র গ্রন্থি?,অগ্ন্যাশয়
732,সিমেন তৈরির জন্য পিচ্ছিল পদার্থ ক্ষরণ করে কোন অঙ্গ?,সেমিনাল ভেসিকল
733,ব্যাকটেরিয়া ধ্বংসে অ্যান্টিবডিকে সহায়তা করে কোনটি?,কমপ্লিমেন্ট সিস্টেম
734,হোমোলোগাস ক্রোমোজোমের একটি লোকাসে দুটি জিন একত্রে থাকাকে কী বলে?,অ্যালিলোমর্ফ
735,জেলিফিশ কোন পর্বের প্রাণী?,নিডারিয়া
736,কোন প্রাণী অযৌন ও যৌন দুভাবেই প্রজনন সম্পন্ন করে?,হাইড্রা
737,ঘাসফড়িং এর অগ্রভাগের সরু ও শক্ত ডানাদ্বয়কে কী বলে?,টেগমিনা
738,কোন ভিটামিন পানিতে দ্রবণীয়?,ভিটামিন B কমপ্লেক্স
739,পেপসিনের ক্ষেত্রে কোনটি সত্য নয়?,ইহা অগ্ন্যাশয় থেকে নিঃসৃত হয়
740,কোনটি অদানাদার শ্বেত কণিকা?,মনোসাইট
741,স্বাভাবিক অবস্থায় মানবদেহের রক্তের pH এর মান-,7.40
742,নিচের কোনটি পালমোনারি সংবহনের অংশ নয়?,মহাধমনি
743,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরি হয়?,অরনিথিন চক্র
744,নিচের কোনটি বক্ষ অস্থিচক্রের হাড়?,ক্ল্যাভিকল
745,মানুষের নবম জোড়া করোটিক স্নায়ুর নাম কী?,গ্লাসোফ্যারিঞ্জিয়াল
746,মস্তিষ্কের কোন অংশে ক্ষুধা নিয়ন্ত্রণ কেন্দ্র অবস্থিত?,হাইপোথ্যালামাস
747,ডায়েনসেফালনের মধ্যস্থ গহবরটিকে কী বলে?,তৃতীয় ভেন্ট্রিকল
748,পিউপিলের অবস্থান কোথায়?,আইরিসের মধ্যবর্তী স্থানে
749,মেলানিন রঞ্জকে রঞ্জিত স্তর কোনটি?,কোরয়েড
750,অগ্ন্যাশয়ের আলফা কোষ থেকে নিঃসৃত হয়—,গ্লুকাগন
751,কোন গ্রন্থির ক্ষরণকাল আজীবন নয়?,থাইমাস
752,নিচের কোনটি ভ্রূণীয় এক্টোডার্ম স্তর থেকে তৈরি হয়?,কেন্দ্রীয় স্নায়ুতন্ত্র
753,মানুষের দেহকোষে কতটি অটোজোম থাকে?,৪৪টি
754,নিচের কোনটির দ্বারা গনোরিয়া রোগ হয়?,ব্যাকটেরিয়া
755,ভ্রান্ত সিলোমযুক্ত প্রাণীর পর্ব কোনটি?,Nematoda
756,হাইড্রার মুকুল কী কাজে ব্যবহৃত হয়?,অযৌন প্রজনন
757,রক্তস্রোতে থাকা অতিরিক্ত গ্লুকোজ থেকে যকৃতে সঞ্চিত পলিস্যাকারাইড হলো-,গ্লাইকোজেন
758,মাইক্রোভিলাইগুলো একত্রিতভাবে ক্ষুদ্রান্ত্রের উপরিভাগে কী সৃষ্টি করে?,ব্রাশ বর্ডার
759,স্থূলতার সহিত সম্পর্কযুক্ত রোগ কোনটি?,করোনারি হার্ট ডিজিজ
760,ফুসফুসের গঠন ও কার্যগত একক-,অ্যালভিওলাস
761,স্বাভাবিক মূত্রের বর্ণ হালকা হলুদ হয় কিসের উপস্থিতিতে?,ইউরোক্রোম
762,নিচের কোনটি ক্লাভিকলের বৈশিষ্ট্য?,এটি একটি বাঁকানো অস্থি
763,চলনের সময় হাঁটুকে ভাঁজ করে কোন মাংসপেশী?,বাইসেপস ফিমোরিস
764,মেরুদন্ডের এটলাস ও এক্সিসের মধ্যবর্তী অস্থিসন্ধি কোনটি?,কীলক
765,মোটর প্রকৃতির স্নায়ু কোনটি?,হাইপোগ্লোসাল
766,সন্তান প্রসবে কোন হরমোন সাহায্য করে?,অক্সিটোসিন
767,মায়ের দুধে কি ধরনের প্রতিরক্ষা থাকে?,প্রাকৃতিক অক্রিয়
768,অ্যান্টিবডি ক্ষরণ করে কোন কোষ?,প্লাজমা কোষ
769,সর্বপ্রথম ভ্যাক্সিন কত সালে আবিষ্কৃত হয়?,1796
770,কোনটি সেক্স লিংকড ডিসঅর্ডার নয়?,ডায়াবেটিক ম্যালিটাস
771,কোয়াগুলেশন ফ্যাক্টর কোনটির অভাবে হিমোফিলিয়া হয়?,VIII ফ্যাক্টর
772,সপ্তম করোটিক স্নায়ু কোনটি?,ফেসিয়াল
773,মানবদেহে ক্যালসিয়াম ও ফসফরাসের বিপাক নিয়ন্ত্রণ করে কোন গ্রন্থি?,প্যারাথাইরয়েড
774,মানব দেহে নিষেক প্রক্রিয়া কোথায় সংঘটিত হয়?,ডিম্বনালি
